City,Date,Temperature,Humidity,WindSpeed
London,2025-03-01,5.5,77.1,11.3
London,2025-03-02,5.2,76.8,7.2
London,2025-03-03,5.8,72.0,5.9
London,2025-03-04,6.4,69.8,13.0
London,2025-03-05,7.2,74.2,14.5
London,2025-03-06,9.8,67.0,20.3
London,2025-03-07,13.0,67.0,18.7
London,2025-03-08,12.2,62.5,19.1
London,2025-03-09,12.2,62.3,20.1
London,2025-03-10,10.2,71.4,21.0
London,2025-03-11,7.3,67.3,20.7
London,2025-03-12,5.9,70.0,16.3
London,2025-03-13,4.8,79.3,18.5
London,2025-03-14,5.1,73.8,17.4
London,2025-03-15,5.2,63.5,22.1
London,2025-03-16,5.3,68.0,23.9
London,2025-03-17,6.6,71.0,19.8
London,2025-03-18,6.5,61.6,24.6
London,2025-03-19,10.2,64.0,13.9
London,2025-03-20,13.4,64.2,13.0
London,2025-03-21,13.3,67.5,24.0
London,2025-03-22,13.5,78.4,14.3
London,2025-03-23,11.4,83.4,17.4
London,2025-03-24,9.4,72.8,17.7
London,2025-03-25,10.2,81.6,13.7
London,2025-03-26,12.7,71.9,10.0
London,2025-03-27,10.1,79.3,17.8
London,2025-03-28,11.3,63.8,22.9
London,2025-03-29,9.7,62.5,25.2
London,2025-03-30,13.3,60.7,26.4
London,2025-03-31,11.1,62.9,14.9
New York,2025-03-01,7.9,41.3,37.0
New York,2025-03-02,-2.9,32.9,29.1
New York,2025-03-03,-0.8,36.5,17.3
New York,2025-03-04,6.1,49.4,17.6
New York,2025-03-05,10.3,75.2,26.1
New York,2025-03-06,9.2,63.5,33.5
New York,2025-03-07,5.7,29.9,34.2
New York,2025-03-08,5.4,31.0,30.9
New York,2025-03-09,6.0,31.1,25.8
New York,2025-03-10,12.0,33.5,18.0
New York,2025-03-11,12.5,40.0,21.0
New York,2025-03-12,9.5,34.7,25.9
New York,2025-03-13,6.3,58.9,24.3
New York,2025-03-14,7.7,61.6,17.2
New York,2025-03-15,7.1,83.2,15.1
New York,2025-03-16,12.3,84.7,23.4
New York,2025-03-17,11.5,76.4,30.1
New York,2025-03-18,8.3,38.4,30.2
New York,2025-03-19,10.8,40.9,14.9
New York,2025-03-20,8.1,84.8,16.6
New York,2025-03-21,7.7,45.2,43.6
New York,2025-03-22,10.8,33.3,39.3
New York,2025-03-23,4.3,37.3,27.5
New York,2025-03-24,7.0,80.6,19.9
New York,2025-03-25,11.3,39.9,31.7
New York,2025-03-26,7.6,40.6,28.8
New York,2025-03-27,6.1,34.1,28.5
New York,2025-03-28,11.9,36.5,16.0
New York,2025-03-29,16.4,52.7,28.0
New York,2025-03-30,7.2,79.4,16.4
New York,2025-03-31,13.9,80.2,16.0
Tokyo,2025-03-01,12.6,60.8,22.2
Tokyo,2025-03-02,14.5,56.8,12.1
Tokyo,2025-03-03,6.5,88.6,20.1
Tokyo,2025-03-04,2.4,76.5,15.3
Tokyo,2025-03-05,5.2,97.9,16.8
Tokyo,2025-03-06,9.2,59.7,22.1
Tokyo,2025-03-07,7.1,39.3,30.6
Tokyo,2025-03-08,3.3,63.6,11.8
Tokyo,2025-03-09,6.8,66.8,14.3
Tokyo,2025-03-10,8.9,44.9,17.4
Tokyo,2025-03-11,10.2,70.2,13.4
Tokyo,2025-03-12,11.5,95.3,13.6
Tokyo,2025-03-13,14.5,70.6,13.4
Tokyo,2025-03-14,12.8,33.8,15.2
Tokyo,2025-03-15,8.9,48.5,13.5
Tokyo,2025-03-16,6.4,94.7,16.4
Tokyo,2025-03-17,10.1,64.7,24.4
Tokyo,2025-03-18,8.5,49.6,20.2
Tokyo,2025-03-19,5.8,80.8,22.3
Tokyo,2025-03-20,8.2,54.4,13.9
Tokyo,2025-03-21,11.0,62.6,16.8
Tokyo,2025-03-22,15.6,48.2,17.2
Tokyo,2025-03-23,17.5,46.1,15.0
Tokyo,2025-03-24,14.7,74.8,15.2
Tokyo,2025-03-25,17.5,62.0,18.4
Tokyo,2025-03-26,20.3,45.0,21.8
Tokyo,2025-03-27,17.6,68.5,28.5
Tokyo,2025-03-28,20.2,77.4,27.2
Tokyo,2025-03-29,8.0,89.1,15.5
Tokyo,2025-03-30,9.2,63.3,19.2
Tokyo,2025-03-31,7.2,60.6,12.6
Sydney,2025-03-01,24.4,79.6,24.8
Sydney,2025-03-02,23.2,84.3,28.7
Sydney,2025-03-03,22.4,76.7,30.4
Sydney,2025-03-04,22.3,80.8,29.3
Sydney,2025-03-05,22.8,75.6,22.6
Sydney,2025-03-06,22.7,78.6,26.3
Sydney,2025-03-07,22.7,70.4,27.7
Sydney,2025-03-08,22.9,74.4,24.2
Sydney,2025-03-09,23.5,78.7,25.2
Sydney,2025-03-10,23.2,78.9,20.2
Sydney,2025-03-11,21.1,93.9,19.6
Sydney,2025-03-12,22.1,85.8,15.4
Sydney,2025-03-13,23.3,81.0,21.1
Sydney,2025-03-14,25.0,77.4,19.0
Sydney,2025-03-15,26.1,74.8,23.4
Sydney,2025-03-16,30.3,43.6,23.9
Sydney,2025-03-17,20.0,56.1,38.7
Sydney,2025-03-18,20.1,61.3,19.6
Sydney,2025-03-19,22.6,71.6,27.0
Sydney,2025-03-20,23.5,75.0,25.4
Sydney,2025-03-21,22.8,84.0,18.6
Sydney,2025-03-22,22.4,80.8,19.9
Sydney,2025-03-23,21.8,88.9,14.1
Sydney,2025-03-24,22.4,84.9,14.2
Sydney,2025-03-25,22.7,81.5,20.5
Sydney,2025-03-26,22.6,81.5,18.6
Sydney,2025-03-27,21.7,82.5,18.5
Sydney,2025-03-28,22.1,81.5,27.7
Sydney,2025-03-29,20.2,90.3,19.0
Sydney,2025-03-30,21.0,84.0,34.4
Sydney,2025-03-31,19.6,83.1,38.7
Cape Town,2025-03-01,21.3,75.6,42.5
Cape Town,2025-03-02,24.9,59.5,27.0
Cape Town,2025-03-03,22.5,72.5,24.1
Cape Town,2025-03-04,21.9,81.0,35.3
Cape Town,2025-03-05,22.0,76.5,33.5
Cape Town,2025-03-06,20.8,77.0,22.3
Cape Town,2025-03-07,22.2,66.5,31.3
Cape Town,2025-03-08,21.7,67.0,24.1
Cape Town,2025-03-09,19.5,77.2,24.1
Cape Town,2025-03-10,19.7,62.6,38.9
Cape Town,2025-03-11,21.8,58.0,37.1
Cape Town,2025-03-12,22.6,60.3,37.1
Cape Town,2025-03-13,24.3,58.3,42.5
Cape Town,2025-03-14,24.9,55.5,27.7
Cape Town,2025-03-15,19.0,79.3,29.5
Cape Town,2025-03-16,20.3,76.1,29.5
Cape Town,2025-03-17,20.9,67.9,33.5
Cape Town,2025-03-18,24.8,55.6,20.5
Cape Town,2025-03-19,23.6,62.6,18.4
Cape Town,2025-03-20,19.7,79.3,22.3
Cape Town,2025-03-21,21.1,87.0,20.5
Cape Town,2025-03-22,20.1,91.4,25.9
Cape Town,2025-03-23,18.8,85.5,23.8
Cape Town,2025-03-24,19.1,78.2,29.5
Cape Town,2025-03-25,18.5,80.6,35.3
Cape Town,2025-03-26,18.7,72.8,40.7
Cape Town,2025-03-27,21.5,59.0,36.9
Cape Town,2025-03-28,20.8,68.8,20.9
Cape Town,2025-03-29,17.5,81.9,29.5
Cape Town,2025-03-30,19.5,73.0,40.7
Cape Town,2025-03-31,20.2,72.3,37.1
